[0m17:41:04,209 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final
[0m[0m17:41:04,239 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final
[0m[0m17:41:04,281 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final
[0m[0m17:41:04,301 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final
[0m[0m17:41:04,301 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final
[0m[0m17:41:04,517 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0049: WildFly Core 2.0.10.Final "Kenny" starting
[0m[0m17:41:04,585 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0049: WildFly Core 2.0.10.Final "Kenny" starting
[0m[0m17:41:04,603 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0049: WildFly Core 2.0.10.Final "Kenny" starting
[0m[0m17:41:04,607 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0049: WildFly Core 2.0.10.Final "Kenny" starting
[0m[0m17:41:04,648 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: WildFly Core 2.0.10.Final "Kenny" starting
[0m[0m17:41:05,074 INFO  [stdout] (MSC service thread 1-2) WARN: You are running the monitoring endpoints without any security realm configuration!
[0m[0m17:41:05,134 INFO  [stdout] (MSC service thread 1-1) WARN: You are running the monitoring endpoints without any security realm configuration!
[0m[0m17:41:05,261 INFO  [stdout] (MSC service thread 1-8) WARN: You are running the monitoring endpoints without any security realm configuration!
[0m2016-07-16 17:41:05,358 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 11) WFLYIO001: Worker 'default' has auto-configured to 16 core threads with 128 task threads based on your 8 available processors
2016-07-16 17:41:05,393 INFO  [org.jboss.as.naming] (ServerService Thread Pool -- 13) WFLYNAM0001: Activating Naming Subsystem
2016-07-16 17:41:05,395 INFO  [org.jboss.as.security] (ServerService Thread Pool -- 15) WFLYSEC0002: Activating Security Subsystem
2016-07-16 17:41:05,396 INFO  [org.jboss.as.security] (MSC service thread 1-5) WFLYSEC0001: Current PicketBox version=4.9.4.Final
2016-07-16 17:41:05,404 INFO  [org.jboss.as.naming] (MSC service thread 1-4) WFLYNAM0003: Starting Naming Service
2016-07-16 17:41:05,420 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 16) WFLYUT0003: Undertow 1.3.15.Final starting
2016-07-16 17:41:05,420 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-6) WFLYUT0003: Undertow 1.3.15.Final starting
[0m17:41:05,428 INFO  [stdout] (MSC service thread 1-6) WARN: You are running the monitoring endpoints without any security realm configuration!
[0m2016-07-16 17:41:05,457 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.3.4.Final
2016-07-16 17:41:05,466 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.3.4.Final
2016-07-16 17:41:05,551 INFO  [org.jboss.as.naming] (ServerService Thread Pool -- 13) WFLYNAM0001: Activating Naming Subsystem
2016-07-16 17:41:05,574 INFO  [org.jboss.as.security] (ServerService Thread Pool -- 15) WFLYSEC0002: Activating Security Subsystem
2016-07-16 17:41:05,581 INFO  [org.jboss.as.security] (MSC service thread 1-6) WFLYSEC0001: Current PicketBox version=4.9.4.Final
